kanji,meanings,readings,stroke_number,unicode
妻,spouse; wife,サイ; つま; ずま; め,8,59BB
材,ingredients; log; lumber; materials; talent; timber; wood,ザイ; き; さい,7,6750
雑,miscellaneous,ザツ; ゾウ; まじ.える; まじ.る,14,96D1
残,balance; leftover; remainder,サン; ザン; そこな.う; のこ.す; のこ.り; のこ.る,10,6B8B
市,city; market; town,シ; いち; い; ち,5,5E02
糸,thread,シ; いと,6,7CF8
似,becoming; counterfeit; imitate; resemble; suitable,ジ; に.る; ひ.る; にた,7,4F3C
自,oneself,シ; ジ; おの.ずから; おの.ずと; みずか.ら; より,6,81EA
写,be photographed; copy; describe,シャ; ジャ; うつ-; うつ.し; うつ.す; うつ.る,5,5199
守,defend; guard; obey; protect,シュ; ス; -もり; かみ; まも.り; まも.る; もり; う; し; て; も,6,5B88
宗,denomination; essence; main point; origin; religion; sect,シュウ; ソウ; むね; かず; し; そ; そお; たか; とし; のり; ひろ; むな; もと; よし,8,5B97
集,congregate; flock; gather; meet; swarm,シュウ; あつ.まる; あつ.める; つど.う; あつまり; ず,12,96C6
春,spring (season); springtime,シュン; はる; あずま; かす; すの; ひ; わら,9,6625
助,assist; help; rescue,ジョ; す.ける; すけ; たす.かる; たす.ける,7,52A9
招,beckon; engage; invite; summon,ショウ; まね.く,8,62DB
賞,praise; prize; reward,ショウ; ほ.める,15,8CDE
職,employment; post; work,ショク; ソク; もと,18,8077
神,gods; mind; soul,シン; ジン; かみ; かん-; こう-; か; かぐ; かな; かも; くま; こ; こは; だま; み,9,795E
数,fate; figures; law; number; strength,サク; シュ; ス; スウ; ソク; かず; かぞ.える; しばしば; せ.める; わずらわ.しい; じゅ,13,6570
晴,clear up,セイ; -ば.れ; は.らす; は.れ; は.れ-; は.れる; はる; はれ,12,6674
青,blue; green,ショウ; セイ; あお; あお-; あお.い; お,8,9752
接,adjoin; contact; piece together; touch,ショウ; セツ; つ.ぐ,11,63A5
宣,announce; proclaim; say,セン; のたま.う; とおる; のぶ; のぼる; のり; ひさ; よし,9,5BA3
善,good; goodness; virtuous,ゼン; い.い; よ.い; よ.く; よし.とする; たる; よし,12,5584
争,argue; contend; dispute,ソウ; あらそ.う; いか.でか,6,4E89
側,lean; oppose; regret; side,ソク; かわ; がわ; そば,11,5074
卒,die; graduate; private; soldier,シュツ; ソツ; お.える; お.わる; そっ.する; ついに; にわか,8,5352
体,body; counter for images; object; reality; substance,タイ; テイ; かたち; からだ; なり,7,4F53
大,big; large,タイ; ダイ; -おお.いに; おお-; おお.きい; うふ; お; おう; た; たかし; とも; はじめ; ひろ; ひろし; まさ; まさる; もと; わ,3,5927
男,male,ダン; ナン; お; おとこ; み,7,7537
中,center; in; inside; mean; middle,チュウ; あた.る; うち; なか; あたる; かなえ,4,4E2D
張,counter for bows & stringed instruments; put up (tent); spread; stretch,チョウ; -は.り; -ば.り; は.る; はり; わり,11,5F35
通,"avenue; commute; counter for letters, notes, documents, etc.; pass through; traffic",ツ; ツウ; -とお.り; -どお.し; -どお.り; かよ.う; とお.し; とお.す; とお.り; とお.る; とん; どうし; どおり; みち,10,901A
的,adjective ending; bull's eye; mark; object; target,テキ; まと; いくは; ゆくは,8,7684
田,rice field; rice paddy,デン; た; いなか; おか; たん; で; とう; や,5,7530
刀,knife; saber; sword,トウ; かたな; そり; き; ち; と; わき,2,5200
討,attack; chastise; conquer; defeat; destroy,トウ; う.つ,10,8A0E
得,able to; acquire; advantage; benefit; can; earn; find; gain; get; may; profit,トク; う.る; え.る; あつ; てろ,11,5F97
二,two; two radical (no. 7),ジ; ニ; ふた; ふた.つ; ふたたび; おと; つぎ; つぐ; にい; は; ふ; ふたつ; ふだ; わ,2,4E8C
燃,blaze; burn; glow,ネン; も.える; も.す; も.やす,16,71C3
配,distribute; exile; rationing; spouse,ハイ; くば.る,10,914D
判,judgement; judgment; seal; signature; stamp,ハン; バン; わか.る,7,5224
比,Philippines; compare; race; ratio,ヒ; くら.べる; い; ぴっ,4,6BD4
筆,handwriting; painting brush; writing; writing brush,ヒツ; ふで; はじめ,12,7B46
品,article; counter for meal courses; dignity; goods; refinement,ヒン; ホン; しな,9,54C1
負,-; assume a responsibility; bear; defeat; minus; negative; owe,フ; お.う; ま.かす; ま.ける,9,8CA0
物,matter; object; thing,ブツ; モツ; もの; もの-,8,7269
別,another; branch off; diverge; extra; fork; separate; specially,ベツ; わ.ける; わか.れる; べっ,7,5225
補,assistant; compensate; learner; make good; offset; supplement; supply,ホ; おぎな.う,12,88DC
望,ambition; aspire to; desire; expect; full moon; hope,ボウ; モウ; のぞ.む; もち; み; も,11,671B
満,enough; full; fullness; satisfy,バン; マン; み.たす; み.ちる; み.つ; ま; みち; みつ; みつる,12,6E80
盟,alliance; oath,メイ,13,76DF
夜,evening; night,ヤ; よ; よる,8,591C
有,approx; exist; happen; have; occur; possess,ウ; ユウ; あ.る; あ; あら; あり; ある; くに; なお; ゆ,6,6709
洋,Western style; foreign; ocean; sea,ヨウ; なだ; ひろ; ひろし; よ; よし,9,6D0B
利,advantage; benefit; profit,リ; き.く; かが; と; とし; のり; み; りい,7,5229
旅,travel; trip,リョ; たび,10,65C5
輪,circle; counter for wheels and flowers; link; loop; ring; wheel,リン; わ; なわ; も,15,8F2A
路,distance; path; road; route,ル; ロ; -じ; みち,13,8DEF
暗,be blinded; darkness; disappear; grow dark; informal; shade,アン; くら.い; くら.む; くれ.る,13,6697
移,"catch (cold, fire); change; drift; move; pass into; shift",イ; うつ.す; うつ.る,11,79FB
引,admit; install; jerk; pull; quote; refer to; tug,イン; ひ.く; ひ.ける; いな; ひき; ひけ; びき,4,5F15
泳,swim,エイ; およ.ぐ,8,6CF3
遠,distant; far,エン; オン; とお.い; お; おに; ど; どお,13,9060
恩,benefit; blessing; favor; goodness; grace; kindness; mercy,オン; めぐみ,10,6069
夏,summer,カ; ガ; ゲ; なつ,10,590F
貨,freight; goods; property,カ; たから,11,8CA8
改,change; examine; inspect; mend; modify; reformation; renew; search,カイ; あらた.まる; あらた.める,7,6539
各,each; either; every,カク; おのおの; かか; かが,6,5404
活,being helped; lively; living; resuscitation,カツ; い.かす; い.きる; い.ける,9,6D3B
歓,delight; joy,カン; よろこ.ぶ; ぶ,15,6B53
顔,expression; face,ガン; かお,18,9854
帰,arrive at; homecoming; lead to; result in,キ; おく.る; かえ.す; かえ.る; とつ.ぐ,10,5E30
疑,be suspicious; distrust; doubt; question,ギ; うたが.う,14,7591
求,demand; request; require; want; wish for,キュウ; グ; もと.める,7,6C42
許,approve; permit,キョ; もと; ゆる.す,11,8A31
教,doctrine; faith; teach,キョウ; おし.える; おそ.わる; のり; ひさ,11,6559
均,average; level,キン; なら.す; ひとし,7,5747
空,empty; sky; vacant; vacuum; void,クウ; あ.き; あ.く; あ.ける; から; す.かす; す.く; そら; むな.しい; うつ; き; く,8,7A7A
敬,awe; honor; respect; revere,キョウ; ケイ; うやま.う; け; たか; たかし; たけ; とし; のり; ひろ; ゆき; よし,12,656C
結,bind; contract; do up hair; fasten; join; organize; tie,ケチ; ケツ; むす.ぶ; ゆ.う; ゆ.わえる; ゆい; ゆう,12,7D50
権,authority; power; rights,ケン; ゴン; おもり; かり; はか.る,15,6A29
厳,rigidity; severity; stern; strictness,ゲン; ゴン; いか.めしい; いつくし; おごそ.か; きび.しい; いつ; いづ; きゅうら; とし,17,53B3
戸,counter for houses; door; door radical (no. 63),コ; と; え; へ,4,6238
候,climate; expect; season; wait for; weather,コウ; そうろう,10,5019
工,construction;craft;katakana e radical (no. 48),もく;ク; グ,3,5DE5
航,cruise; fly; navigate; sail,コウ; わたる,10,822A
黒,black,コク; くろ; くろ.い; くろ.ずむ,11,9ED2
才,cubic shaku; genius; years old,サイ,3,624D
罪,blame; crime; fault; guilt; offense; sin,ザイ; つみ,13,7F6A
三,three,サン; ゾウ; み; み.つ; みっ.つ; か; さ; さい; さえ; さぶ; ざ; ざえ; ざぶ; そう; ぞ; ただ; みつ; みん; も; や,3,4E09
仕,attend; doing; official; serve,シ; ジ; つか.える,5,4ED5
師,army (incl. counter); exemplar; expert; master; model; teacher; war,シ; いくさ; かず; つかさ; のし; のり; みつ; もと; もろ,10,5E2B
紙,paper,シ; かみ,10,7D19
児,child; newborn babe; young of animals,ゲイ; ジ; ニ; -こ; -っこ; こ; る,7,5150
辞,expression; resign; term; word,ジ; いな.む; や.める,13,8F9E
社,association; company; firm; office; shrine,シャ; やしろ; こそ,7,793E
手,hand,シュ; ズ; -て; た-; て; て-,4,624B
就,concerning; depart; per; settle; study; take position,シュウ; ジュ; つ.く; つ.ける; たか; なり,12,5C31
住,dwell; inhabit; live; reside,ジュウ; チュウ; ヂュウ; -ず.まい; す.まう; す.む; し; じゅ; すみ,7,4F4F
準,conform; correspond to; imitate; proportionate to; semi-,ジュン; じゅん.じる; じゅん.ずる; なぞら.える; のり; ひと.しい; みずもり,13,6E96
女,female; woman,ジョ; ニョ; ニョウ; おんな; め; おな; た; つき; な,3,5973
昭,bright; shining,ショウ; あき; あきら; かず; かずみ; てる,9,662D
上,above; up,シャン; ショウ; ジョウ; -あ.がり; -あ.がる; -あ.げる; -うえ; あ.がり; あ.がる; あ.げる; うえ; うわ-; かみ; たてまつ.る; のぼ.す; のぼ.せる; のぼ.り; のぼ.る; あおい; あげ; い; か; かき; かず; かん; こう; のぼり; ほつ,3,4E0A
色,color,シキ; ショク; いろ; しか; しこ,6,8272
臣,retainer; subject,シン; ジン; おみ; たか; と; とみ; み,7,81E3
世,generation; public; society; world,セ; セイ; ソウ; よ; とし; ゆ; ゆき,5,4E16
正,10**40; correct; justice; righteous,ショウ; セイ; ただ.しい; ただ.す; まさ; まさ.に; おお; くに; ただし; ま; まさし,5,6B63
静,quiet,ジョウ; セイ; しず-; しず.か; しず.まる; しず.める; しづ,14,9759
折,bend; break; fold; fracture; submit; yield,シャク; セツ; -お.り; お.り; お.る; お.れる; おり; せき,7,6298
専,exclusive; mainly; solely; specialty,セン; もっぱ.ら,9,5C02
然,if so; in that case; so; sort of thing; well,ゼン; ネン; さ; しか; しか.し; しか.り,12,7136
相,aspect; councillor; each other; inter-; minister of state; mutual; phase; physiognomy; together,ショウ; ソウ; あい-; あ; い; おう; さ; さが; すけ,9,76F8
則,based on; follow; law; model after; rule,ソク; すなわち; のっと.る; のり,9,5247
存,be aware of; believe; exist; feel; suppose,ソン; ゾン; あ.る; たも.つ; と.う; ながら.える; あり; まさ,6,5B58
対,anti-; compare; equal; even; opposite; versus; vis-a-vis,タイ; ツイ; あいて; こた.える; そろ.い; つれあ.い; なら.ぶ; むか.う; つし,7,5BFE
第,No.; residence,ダイ; テイ,11,7B2C
談,discuss; talk,ダン,15,8AC7
忠,faithfulness; fidelity; loyalty,チュウ; きよし; たた; ただ; ただし; なお,8,5FE0
朝,(North) Korea; dynasty; epoch; morning; period; regime,チョウ; あさ; あ; あそ; ささ; ちか; とも,12,671D
低,humble; lower; short,テイ; ひく.い; ひく.まる; ひく.める,7,4F4E
適,capable; occasional; qualified; rare; suitable,テキ; かな.う,14,9069
電,electricity,デン,13,96FB
島,island,トウ; しま,10,5CF6
頭,counter for large animals; head,ズ; ト; トウ; -がしら; あたま; かしら; かぶり; かみ; がみ; ちゃん; つむり; づ,16,982D
徳,benevolence; commanding respect; goodness; virtue,トク; あつ; なる; のり; ゆき; よし,14,5FB3
弐,II; second; two,ジ; ニ; そえ; ふた.つ,6,5F10
納,obtain; pay; reap; settlement; store; supply,トウ; ナ; ナッ; ナン; ノウ; -おさ.める; おさ.まる; おさ.める; の; ろ,10,7D0D
倍,double; fold; times; twice,バイ; べ; ます,10,500D
半,half; middle; odd number; part-; semi-,ハン; なか.ば; は,5,534A
皮,hide; leather; pelt; skin; skin radical (no. 107),ヒ; かわ,5,76AE
百,hundred,ヒャク; ビャク; もも; お; ど; どう; なり; ひゃっ; ひゅく; も; もんど; ゆう,6,767E
貧,poor; poverty,ヒン; ビン; まず.しい,11,8CA7
武,arms; chivalry; military; warrior,ブ; ム; たけ; たけ.し; う; お; たけし; たけん; ん,8,6B66
分,1%; chances; degree; duty; know; minute of time; one's lot; part; rate; segment; shaku/100; share; understand,フン; ブ; ブン; わ.かつ; わ.かる; わ.かれる; わ.け; わ.ける; いた; わけ,4,5206
変,change; strange; unusual,ヘン; か.える; か.わり; か.わる,9,5909
墓,grave; tomb,ボ; はか,13,5893
貿,exchange; trade,ボウ,12,8CBF
味,flavor; taste,ミ; あじ; あじ.わう,8,5473
迷,astray; be perplexed; err; illusion; in doubt; lost,メイ; まよ.う,9,8FF7
野,civilian life; field; plains; rustic,ショ; ヤ; の; の-; ずけ; つけ; ぬ,11,91CE
由,a reason; wherefore,ユ; ユイ; ユウ; よ.る; よし,5,7531
用,business; employ; service; use; utilize,ヨウ; もち.いる; たから,5,7528
理,arrangement; justice; logic; reason; truth,リ; ことわり; あや; おさむ; さと; さとる; ただ; ただし; とおる; に; のり; ひ; まこと; まさ; まさし; まろ; みち; よし,11,7406
両,"both; counter for carriages (e.g., in a train); old Japanese coin; two",リョウ; てる; ふたつ; もろ,6,4E21
類,class; genus; kind; sort; variety,ルイ; たぐ.い,18,985E
労,labor; reward for; thank for; toil; trouble,ロウ; いた.ずき; いたわ.る; つか.れる; ねぎら; ねぎら.う; ろう.する,7,52B4
案,bench; draft; expectation; fear; idea; plan; ponder; proposition; suggestion; table; worry,アン; つくえ,10,6848
胃,craw; crop; paunch; stomach,イ,9,80C3
飲,drink; smoke; take,イン; オン; -の.み; の.む,12,98F2
英,England; English; calyx; hero; outstanding,エイ; はなぶさ; あ; あい; え; すぐる; はな; ひ; ひで; よし; ら,8,82F1
塩,salt,エン; しお,13,5869
温,warm,オン; あたた.か; あたた.かい; あたた.まる; あたた.める; ぬく; あつ; あつし; なお; はる; ゆ; ゆたか,12,6E29
家,expert; family; home; house; performer; professional,カ; ケ; いえ; うち; や; あり; え; く; つか; べ,10,5BB6
過,error; exceed; go beyond; overdo,カ; あやま.ち; あやま.つ; す.ぎる; す.ごす; よ.ぎる; よぎ.る,12,904E
械,contraption; fetter; instrument; machine,カイ; かせ,11,68B0
拡,broaden; enlarge; expand; extend,カク; コウ; ひろ.がる; ひろ.げる; ひろ.める,8,62E1
株,counter for small plants; shares; stock; stocks; stump,シュ; かぶ,10,682A
漢,China; Sino-,カン; はん,13,6F22
願,hope; petition; request; vow; wish,ガン; -ねがい; ねが.う; ら,19,9858
気,air; atmosphere; mind; mood; spirit,キ; ケ; き,6,6C17
義,honor; justice; loyalty; meaning; morality; righteousness,ギ; ただし; ちか; のり; よし,13,7FA9
球,ball; sphere,キュウ; たま; く,11,7403
漁,fishery; fishing,ギョ; リョウ; あさ.る,14,6F01
橋,bridge,キョウ; はし; ばせ,16,6A4B
禁,ban; forbid; prohibition,キン,13,7981
君,male name suffix; mister; ruler; you,クン; -ぎみ; きみ; み,7,541B
景,scenery; view,ケイ; かげ,12,666F
血,blood,ケツ; ち,6,8840
犬,dog,ケン; いぬ; いぬ-,4,72AC
減,curtail; decline; decrease; dwindle; get hungry; reduce,ゲン; へ.らす; へ.る,12,6E1B
故,cause; circumstances; consequently; especially; happenstance; intentionally; reason; the late; therefore,コ; ふる.い; もと; ゆえ,9,6545
光,light; ray,コウ; ひか.る; ひかり; あき; あきら; こお; てる; ひこ; み; みつ,6,5149
幸,blessing; fortune; happiness,コウ; さいわ.い; さち; しあわ.せ; こ; さき; さし; さっ; とも; ひろ; みゆき; ゆ; ゆき; よし,8,5E78
行,act; bank; carry out; conduct; going; journey; line; row,アン; ギョウ; コウ; -い.き; -いき; -ゆ.き; -ゆき; い.く; おこ.なう; おこな.う; ゆ.く; いく; なみ; なめ; みち; ゆき; ゆく,6,884C
今,now,キン; コン; いま; な,4,4ECA
採,fetch; pick; take; take up,サイ; と.る,11,63A1
財,assets; money; property; wealth,サイ; ザイ; ゾク; たから,10,8CA1
参,be defeated; be madly in love; coming; die; going; nonplussed; participate; take part in; three (in documents); visit; visiting,サン; シン; まい-; まい.る; まじわる; みつ; み,8,53C2
使,ambassador; cause; envoy; messenger; order; send on a mission; use,シ; -つか.い; -づか.い; つか.い; つか.う,8,4F7F
志,aspire; hopes; intention; motive; plan; resolve; shilling,シ; こころざ.す; こころざし; シリング; じん; べ; べし; ゆき,7,5FD7
至,arrive; attain; climax; proceed; reach; result in,シ; いた.る; のぶ; のり; みち; よし,6,81F3
字,character; letter; section of village; word,ジ; -な; あざ; あざな,6,5B57
式,ceremony; expression; form; function; method; rite; style; system,シキ; のり,6,5F0F
者,person; someone,シャ; もの,8,8005
種,class; kind; seed; species; variety,シュ; -ぐさ; たね; おい; くさ; た; ほ,14,7A2E
州,province; state,シュウ; ス; す; くに,6,5DDE
十,ten,ジッ; ジュウ; ジュッ; そ; と; とお; い; か; ぎ; さ; し; そう; ち; とう; ね; ま; る; わ,2,5341
純,genuine; innocence; net (profit); purity,ジュン; あつ; すみ; み; やすし; よし,10,7D14
序,beginning; chance; incidentally; occasion; order; precedence; preface,ジョ; つい.で; ついで; つぐ,7,5E8F
消,blow out; cancel; extinguish; neutralize; turn off,ショウ; き.える; け.す,10,6D88
乗,board; counter for vehicles; join; mount; multiplication; power; record; ride,ショウ; ジョウ; -の.り; の.せる; の.る; のり,9,4E57
食,eat; food,ショク; ジキ; く.う; く.らう; た.べる; は.む; ぐい,9,98DF
親,dealer (cards); familiarity; intimacy; parent; relative,シン; おや; おや-; した.しい; した.しむ; ぎ; ちか; のり,16,89AA
是,just so; justice; right; this,シ; ゼ; ここ; この; これ; すなお; ただし; つな; ゆき; よし,9,662F
清,Manchu dynasty; cleanse; exorcise; pure; purify,ショウ; シン; セイ; きよ.い; きよ.まる; きよ.める; あき; さや; し; すが; すみ; せ; ちん,11,6E05
税,duty; tax,ゼイ; さい,12,7A0E
設,establishment; prepare; provision,セツ; もう.ける; した,11,8A2D
川,river; river or three-stroke river radical (no. 47); stream,セン; かわ; か; こ; さわ,3,5DDD
全,all; complete; entire; fulfill; whole,ゼン; すべ.て; まった.く; たけ; まさ,6,5168
総,all; full; general; total; whole,ソウ; す.べて; すべ.て; ふさ; うさ; ずさ,14,7DCF
息,breath; coming to an end; interest (on money); nuture; respiration; rest; son,ソク; いき,10,606F
孫,descendants; grandchild,ソン; まご; ひ,10,5B6B
帯,belt; obi; region; sash; zone,タイ; お.びる; おび; たて,10,5E2F
題,subject; topic,ダイ,18,984C
知,know; wisdom,チ; し.らせる; し.る; さと; さとる; しり; しれ; とも; のり,8,77E5
昼,daytime; noon,チュウ; ひる,9,663C
町,block; street; town; village,チョウ; まち,7,753A
停,halt; stopping,テイ; と.まる; と.める,11,505C
鉄,iron,テツ; くろがね; けん; てっ,13,9244
徒,emptiness; ephemeral thing; futility; gang; junior; on foot; party; people; set; uselessness; vanity,ト; あだ; いたずら; かち,10,5F92
投,abandon; discard; give up; hurl; invest in; join; launch into; sell at a loss; throw,トウ; -な.げ; な.げる,7,6295
働,(kokuji); work,ドウ; はたら.く,13,50CD
特,special,トク,10,7279
肉,meat,ニク; しし,6,8089
能,ability; capacity; skill; talent,ノウ; あた.う; よ.く; たか; の; のり; よし,10,80FD
買,buy,バイ; か.う,12,8CB7
反,anti-,タン; ハン; ホ; ホン; -かえ.る; かえ.す; かえ.る; そ.らす; そ.る; そり; た,4,53CD
肥,fertile; fertilizer; get fat; manure; pamper,ヒ; こ.える; こ.やし; こ.やす; こえ; ふと.る; い; こい; ひえ,8,80A5
俵,bag; bale; counter for bags; sack,ヒョウ; たわら,10,4FF5
不,bad; clumsy; negative; non-; ugly,フ; ブ,4,4E0D
部,bureau; class; copy; counter for copies of a newspaper or magazine; dept; part; portion; section,ブ; -べ; とり; ふ; ぺ; ま,11,90E8
奮,be invigorated; flourish; stirred up,フン; ふる.う,16,596E
編,braid; compilation; completed poem; editing; knit; part of a book; plait; twist,ヘン; -あ.み; あ.む,15,7DE8
母,mother,ボ; はは; も,5,6BCD
防,defend; protect; resist; ward off,ボウ; ふせ.ぐ; あた; う; ほう,7,9632
未,1-3PM; eighth sign of Chinese zodiac; even now; hitherto; not yet; sign of the ram; still; un-,ビ; ミ; いま.だ; ひつじ; ま.だ,5,672A
鳴,bark; chirp; cry; echo; honk; ring; sound,メイ; な.く; な.らす; な.る; なり; なる,14,9CF4
役,campaign; drafted labor; duty; office; role; service; war,エキ; ヤク; ちゃく,7,5F79
遊,play,ユ; ユウ; あそ.ばす; あそ.ぶ; あす; う,12,904A
葉,blade; counter for flat things; fragment; leaf; lobe; needle; piece; plane; spear,ヨウ; は; よ; わ,12,8449
里,league; parent's home; ri; village,リ; さと; さ,7,91CC
料,fee; materials,リョウ,10,6599
令,command; decree; good; laws; orders,レイ; のり; りょう; れ,5,4EE4
老,grow old; old age; old man,ロウ; お.いる; ふ.ける; えび; おい; び,6,8001
以,because; by means of; compared with; in view of,イ; もっ.て; もち,5,4EE5
遺,bequeath; leave behind; reserve,イ; ユイ; のこ.す,15,907A
院,Inst.; institution; mansion; school; temple,イン,10,9662
衛,defense; protection,エ; エイ; い; まもる; もり,16,885B
央,center; middle,オウ; あきら; え; お; さと; ちか; てる; なか; ひさ; ひろ; や,5,592E
音,noise; sound,-ノン; イン; オン; おと; ね; お; と,9,97F3
科,course; department; section,カ; しな,9,79D1
我,I; ego; oneself; our; selfish,ガ; わ; わ.が-; わが-; われ; あ; あが; か,7,6211
海,ocean; sea,カイ; うみ; あ; あま; うな; うん; え; か; た; ひろ; ひろし; ぶ; まち; まま; み; め; わたる,9,6D77
格,"capacity; case (law, grammar); character; rank; status",カク; キャク; コウ; ゴウ; いたる; のり,10,683C
寒,cold,カン; さむ.い; さ; さん,12,5BD2
管,control; drunken talk; jurisdiction; pipe; tube; wind instrument,カン; くだ; すが,14,7BA1
喜,rejoice; take pleasure in,キ; よろこ.ばす; よろこ.ぶ; あき; きゅ; のぶ; ゆき; よし,12,559C
汽,steam; vapor,キ,7,6C7D
議,consideration; consultation; debate; deliberation,ギ; かた; のり,20,8B70
究,research; study,キュウ; ク; きわ.める; きゅ,7,7A76
魚,fish,ギョ; -ざかな; うお; さかな; い,11,9B5A
興,entertain; interest; pleasure; retrieve; revive,キョウ; コウ; おこ.す; おこ.る; おき; おこっ; とも,16,8208
近,akin; early; near; tantamount,キン; コン; ちか.い; おう; おお; この,7,8FD1
訓,Japanese character reading; explanation; instruction; read,キン; クン; おし.える; くん.ずる; よ.む; く; くに; くの; さとし; のり; ふみ,10,8A13
系,lineage; system,ケイ,7,7CFB
月,month; moon,ガツ; ゲツ; つき; おと; がっ; す; ずき; もり,4,6708
研,polish; sharpen; study of,ケン; と.ぐ; のり,9,7814
現,actual; existing; present,ゲン; あらわ.す; あらわ.れる; うつ.つ; うつつ; あきら; きら,11,73FE
湖,lake,コ; みずうみ; うみ; み,12,6E56
公,governmental; official; prince; public,ク; コウ; おおやけ; あきら; き; きみ; きん; たか; ただし; とも; ひろ; まさ,4,516C
広,broad; spacious; wide,コウ; ひろ.い; ひろ.がる; ひろ.げる; ひろ.まる; ひろ.める,5,5E83
講,association; club; lecture,コウ,17,8B1B
根,head (pimple); radical; root,コン; -ね; ね,10,6839
済,"come to an end; excusable; finish; need not; relieve (burden); settle (debt, etc.)",サイ; セイ; -す.ます; -ず.み; -ずみ; す.ます; す.まない; す.む; すく.う; な.す; わた.る; わたし; すむ; なり; わたる,11,6E08
坂,hill; incline; slope,ハン; さか; か; ざ,7,5742
山,mountain,サン; セン; やま; さ; やの; やん,3,5C71
司,administer; director; govt office; official; rule,シ; つかさど.る; つ; つか; つかさ,5,53F8
思,think,シ; おぼ.す; おも.う; おもえら.く,9,601D
視,inspection; look at; regard as; see,シ; み.る; とも; み,11,8996
寺,Buddhist temple,ジ; てら,6,5BFA
識,discriminating; know; write,シキ; し.る; しる.す; さと; さとる,19,8B58
謝,apologize; refuse; thank,シャ; あやま.る; さ; ざ,17,8B1D
酒,alcohol; sake,シュ; さか-; さけ; き; さ; し,10,9152
修,conduct oneself well; discipline; master; study,シュ; シュウ; おさ.まる; おさ.める; おき; おさむ; なが; のぶ,10,4FEE
従,accompany; comply; follow; incidental; obey; secondary; submit to; subordinate,ショウ; ジュ; ジュウ; したが.う; したが.える; より,10,5F93
順,docility; obey; occasion; order; right; turn,ジュン; あや; あり; おき; おさむ; しげ; したがう; とし; なお; のぶ; のり; まさ; むね; もと; ゆき; よし; より,12,9806
除,abolish; cancel; division (x/3); except; exclude; remove,ジ; ジョ; -よ.け; のぞ.く,10,9664
焼,bake; burning,ショウ; -や.き; や.き; や.き-; や.く; や.ける; やい; やき,12,713C
場,location; place,ジョウ; チョウ; ば,12,5834
信,faith; fidelity; trust; truth,シン; し; しが; しな; しの; しぶ; とき; のび; のぶ; まこと,9,4FE1
身,one's station in life; person; somebody,シン; み,7,8EAB
制,law; rule; system,セイ,8,5236
生,birth; genuine; life,ショウ; セイ; -う; い.かす; い.きる; い.ける; う.まれ; う.まれる; う.む; うま.れる; うまれ; お.う; き; な.す; な.る; なま; なま-; は.える; は.やす; む.す; あさ; いき; いく; いけ; うぶ; うまい; え; おい; ぎゅう; くるみ; ごせ; さ; じょう; すぎ; そ; そう; ちる; なば; にう; にゅう; ふ; み; もう; よい; りゅう,5,751F
席,mat; occasion; place; seat,セキ; むしろ,10,5E2D
節,clause; honor; joint; knob; knot; knuckle; melody; node; occasion; period; season; stanza; tune; verse,セチ; セツ; -ぶし; のっと; ふし; たかし,13,7BC0
戦,battle; match; war,セン; いくさ; おのの.く; そよ.ぐ; たたか.う; わなな.く; せ,13,6226
祖,ancestor; founder; pioneer,ソ; い,9,7956
草,draft; grass; herbs; pasture; weeds; write,ソウ; -ぐさ; くさ; くさ-; そ; や,9,8349
測,fathom; measure; plan; scheme,ソク; はか.る,12,6E2C
尊,exalted; noble; precious; revered; valuable,ソン; たっと.い; たっと.ぶ; とうと.い; とうと.ぶ; さだ; たか; たけ; みこと,12,5C0A
待,depend on; wait,タイ; -ま.ち; ま.つ; まち; まつ,9,5F85
達,accomplished; arrive; attain; reach,タツ; ダ; -たち; かつ; さと; て; てつ; とおる; みち,12,9054
地,earth; ground,ジ; チ; どま,6,5730
