kanji,meanings,readings,stroke_number,unicode
柱,cylinder; pillar; post; support,チュウ; はしら,9,67F1
腸,bowels; guts; intestines; viscera,チョウ; はらわた; わた,13,8178
定,decide; determine; establish; fix,ジョウ; テイ; さだ.か; さだ.まる; さだ.める; さた,8,5B9A
典,ceremony; code; law; rule,テン; デン; のり; ふみ; すけ; つね; の,8,5178
登,ascend; climb up,ショウ; チョウ; ト; トウ; ドウ; あ.がる; のぼ.る; たか; のぼし; のぼり; のり,12,767B
東,east,トウ; ひがし; あい; あがり; あずま; あづま; こち; さき; しの; とお; はる; ひが; もと,8,6771
動,change; confusion; motion; move; shake; shift,ドウ; うご.かす; うご.く; るぎ,11,52D5
毒,germ; harm; injury; poison; spite; venom; virus,ドク,8,6BD2
日,Japan; counter for days; day; sun,ジツ; ニチ; -か; -び; ひ; あ; あき; いる; く; くさ; こう; す; たち; に; にっ; につ; へ,4,65E5
農,agriculture; farmers,ノウ; な; の; み,13,8FB2
売,sell,バイ; う.る; う.れる; うり; うる; め,7,58F2
板,board; plank; plate; stage,ハン; バン; いた,8,677F
費,consume; cost; expense; spend; waste,ヒ; つい.える; つい.やす,12,8CBB
標,emblem; evidence; imprint; mark; seal; signpost; souvenir; stamp; symbol; target; trademark,ヒョウ; しるし; しるべ; しべ,15,6A19
付,adhere; append; attach; refer to,フ; -つ.き; -つ.け; -つ.ける; -つき; -づ.き; -づ.く; -づ.け; -づ.ける; -づき; -づけ; つ.き; つ.く; つ.け; つ.け-; つ.ける; つけ,5,4ED8
風,air; manner; style; wind,フ; フウ; かざ-; かぜ; い; え,9,98A8
粉,dust; flour; powder,フン; こ; こな; デシメートル,10,7C89
辺,border; boundary; environs; vicinity,ヘン; -べ; あた.り; ほと.り; なべ,5,8FBA
包,conceal; cover; pack up; wrap,ホウ; くる.む; つつ.む; お; かね,5,5305
北,north,ホク; きた; きら; ほう; ほっ; ほつ,5,5317
脈,hope; pulse; vein,ミャク; すじ,10,8108
綿,cotton,メン; わた; う,14,7DBF
約,approximately; promise; shrink,ヤク; つづ.まる; つづ.める; つづま.やか,9,7D04
夕,evening,セキ; ゆう; ゆ,3,5915
要,essence; key to; main point; need; pivot,ヨウ; い.る; かなめ; とし,9,8981
陸,land; six,リク; ロク; おか; くが; たち; みち; む; むつ,11,9678
良,good; pleasing; skilled,リョウ; -い.い; -よ.い; い.い; よ.い; じ; なが; まこと; よし; ら; りょ; ろう,7,826F
例,custom; example; precedent; usage,レイ; たと.える,8,4F8B
六,six,リク; ロク; む; む.つ; むい; むっ.つ; く; むつ; ろっ; ろつ,4,516D
位,about; crown; grade; rank; some; throne,イ; くらい; ぐらい; ぞき,7,4F4D
医,doctor; medicine,イ; い.する; い.やす; くすし,7,533B
右,right,ウ; ユウ; みぎ; あき; すけ,5,53F3
液,fluid; juice; liquid; sap; secretion,エキ,11,6DB2
往,before; chase away; formerly; going; journey; let go; travel,オウ; い.く; いにしえ; さき.に; ゆ.く; みち,8,5F80
下,below; descend; down; give; inferior; low,カ; ゲ; -くだ.す; お.りる; お.ろす; くだ.さる; くだ.す; くだ.り; くだ.る; さ.がる; さ.げる; した; しも; もと; さか; しと,3,4E0B
果,achieve; carry out; complete; end; finish; fruit; reward; succeed,カ; -は.たす; -は.てる; は.たす; は.て; は.てる; はた.す; み,8,679C
画,brush-stroke; picture,エ; カイ; カク; ガ; えが.く; かぎ.る; かく.する; はか.る; はかりごと,8,753B
界,boundary; world,カイ,9,754C
確,assurance; clear; confirm; evident; firm; hard; solid; tight,カク; コウ; たし.か; たし.かめる,15,78BA
刊,carve; engrave; publish,カン,5,520A
観,appearance; condition; look; outlook; view,カン; しめ.す; み.る,18,89B3
器,ability; container; implement; instrument; receptacle; set; tool; utensil; vessel,キ; うつわ,15,5668
季,seasons,キ; すえ; とし,8,5B63
客,client; customer; guest; visitor,カク; キャク,9,5BA2
級,class; grade; rank,キュウ; しな,9,7D1A
京,10**16; capital,キョウ; キン; ケイ; みやこ; たか,8,4EAC
鏡,barrel-head; mirror; round rice-cake offering; speculum,キョウ; ケイ; かがみ; あき; かが; かがん,19,93E1
金,gold,キン; コン; ゴン; -がね; かな-; かね; かん; きむ; こ; この; ん,8,91D1
群,cluster; crowd; flock; group; herd; swarm,グン; む.れ; む.れる; むら; むら.がる; ぐ; ぐり; こお; こおり; ごうり,13,7FA4
経,expire; longitude; pass thru; sutra; warp,キョウ; キン; ケイ; た.つ; たていと; のり; はか.る; へ.る; つね; のぶ,11,7D4C
件,affair; case; item; matter,ケン; くだん,6,4EF6
絹,silk,ケン; きぬ,13,7D79
言,say; word,ゲン; ゴン; い.う; こと; とき,7,8A00
五,five,ゴ; いつ; いつ.つ; い; さ; さつ; ち; ふ; み; め,4,4E94
功,achievement; credit; honor; merits; success,ク; コウ; いさお; いさ; かつ; くぬ; ぐう; こと; つとむ; とし; のり; よし,5,529F
康,ease; peace,コウ; かん; こ; みち; やす; やすし,11,5EB7
鉱,mineral; ore,コウ; あらがね,13,9271
混,blend; confuse; mix,コン; -ま.じり; こ.む; ま.ざる; ま.じる; ま.ぜる,11,6DF7
災,calamity; curse; disaster; evil; woe,サイ; わざわ.い,7,707D
作,build; make; prepare; production,サ; サク; -づく.り; つく.り; つく.る; くり; さか; さっ; づくり; とも; なお; はぎ; まさか,7,4F5C
散,disperse; scatter; spend; squander,サン; -ち.らす; ち.らかす; ち.らかる; ち.らす; ち.らばる; ち.る; ばら; ばら.ける; ちる,12,6563
史,chronicle; history,シ; あきら; あや; お; こ; ちか; とし; なか; のぶ; ひさ; ひと; ふみ,5,53F2
指,finger; indicate; measure (ruler); play (chess); point to; put into,シ; -さ.し; さ.す; ゆび; い; いぶ; さし; さす,9,6307
詞,part of speech; poetry; words,シ; ことば,12,8A5E
持,have; hold,ジ; -も.ち; も.つ; も.てる; もち; もつ,9,6301
七,seven,シチ; なな; なな.つ; なの; し; しっ; な; ひち,2,4E03
車,car,シャ; くるま; くら; くろま,7,8ECA
首,counter for songs and poems; neck,シュ; くび; おびと; こべ; す,9,9996
拾,find; gather; go on foot; pick up; ten,シュウ; ジュウ; ひろ.う,9,62FE
重,-fold; esteem; heap up; heavy; important; nest of boxes; pile up; respect,ジュウ; チョウ; え; おも; おも.い; おも.なう; おも.り; かさ.なる; かさ.ねる; さね; しげ; しげる,9,91CD
処,act; behave; condemn; deal with; dispose; manage; place; sentence,ショ; -こ; お.る; ところ,5,51E6
勝,excel; prevail; victory; win,ショウ; -が.ち; か.つ; かつ; すぐ.れる; まさ.る; かち; と; よし,12,52DD
照,bashful; compare; illuminate; shine,ショウ; て.らす; て.る; て.れる; あき; てる,13,7167
常,always; common; continually; long-lasting; normal; ordinary; regular; usual,ジョウ; つね; とこ-; とき; のぶ; ひ; ひた,11,5E38
心,heart; heart radical (no. 61); mind; spirit,シン; -ごころ; こころ,4,5FC3
進,advance; proceed; progress; promote,シン; すす.む; すす.める; のぶ,11,9032
勢,energy; forces; military strength,セイ; ゼイ; いきお.い; はずみ; せ,13,52E2
精,energy; excellence; fairy; ghost; purity; refined; semen; skill; vitality,ショウ; セイ; くわ.しい; しら.げる; きよ,14,7CBE
石,stone,コク; シャク; セキ; いし; いさ; いす; いわ; し; せっく; と,5,77F3
説,explanation; opinion; rumor; theory,セツ; ゼイ; と.く; さとし; とき,14,8AAC
浅,frivolous; shallow; shameful; superficial; wretched,セン; あさ.い; あざ; さ,9,6D45
素,elementary; naked; principle; uncovered,ス; ソ; もと,10,7D20
走,run,ソウ; はし.る; はしり,7,8D70
足,be sufficient; counter for pairs of footwear; foot; leg,ソク; あし; た.す; た.りる; た.る; あ; あす; おす; たらし,7,8DB3
損,damage; disadvantage; hurt; injure; loss,ソン; -そこ.なう; -そこ.ねる; そこ.なう; そこ.ねる; そこな.う,13,640D
態,appearance; attitude; condition; figure; voice (of verbs),タイ; わざ.と,14,614B
谷,valley,コク; きわ.まる; たに; がい; がえ; がや; せ; たり; たん; や,7,8C37
池,cistern; pond; pool; reservoir,チ; いけ,6,6C60
注,annotate; comment; concentrate on; flow into; irrigate; notes; pour; shed (tears),チュウ; さ.す; そそ.ぐ; つ.ぐ,8,6CE8
調,exorcise; harmonize; investigate; key (music); mediate; meter; prepare; tone; tune; writing style,チョウ; しら.べ; しら.べる; ととの.う; ととの.える; ぎ; つぎ,15,8ABF
底,base; bottom; bottom price; depth; kind; sole; sort,テイ; そこ,8,5E95
天,heavens; imperial; sky,テン; あま-; あまつ; あめ; あき; あも; た; たかし; て; なま,4,5929
都,all; capital; everything; metropolis,ツ; ト; みやこ; くに; ず; ち; づめ; みや,11,90FD
湯,bath; hot spring; hot water,トウ; ゆ,12,6E6F
同,agree; equal; same,ドウ; おな.じ,6,540C
独,Germany; alone; single; spontaneously,トク; ドク; ひと.り; どいつ; どっ,9,72EC
入,enter; insert,ジュ; ニュウ; -い.り; -い.る; -い.れ; い.る; い.れる; はい.る; いり; いる; に; の; りり,2,5165
波,Poland; billows; waves,ハ; なみ; ひら; みな; みなみ; わ,8,6CE2
博,Dr.; Ph.D.; command; esteem; exposition; fair; win acclaim,ハク; バク; ぐれ; と; はか; ひろ,12,535A
版,edition; impression; label; printing block; printing plate,ハン,8,7248
非,injustice; mistake; negative; non-; un-,ヒ; あら.ず,8,975E
氷,congeal; freeze; hail; ice; icicle,ヒョウ; こお.る; こおり; ひ; すい,5,6C37
夫,husband; man,フ; フウ; ブ; おっと; それ; お; と; ゆう; よ,4,592B
復,restore; resume; return to; revert,フク; また,12,5FA9
文,art; decoration; figures; literary radical (no. 67); literature; plan; sentence; style,ブン; モン; あや; ふみ; かざり; ふ; も,4,6587
返,answer; fade; repay; return,ヘン; -かえ.す; -かえ.る; かえ.す; かえ.る,7,8FD4
報,news; report; retribution; reward,ホウ; むく.いる,12,5831
牧,breed; care for; feed; pasture; shepherd,ボク; まき; ま; まい; もく,8,7267
民,nation; people; subjects,ミン; たみ; ひと; み,5,6C11
面,face; features; mask; surface,ベン; メン; おも; おもて; つら; お; ずら; ほおつき; も,9,9762
薬,benefit; chemical; enamel; gunpowder; medicine,ヤク; くすり; み,16,85AC
予,I; beforehand; myself; previous,シャ; ヨ; あらかじ.め,4,4E88
陽,daytime; heaven; male; positive; sunshine; yang principle,ヨウ; ひ; あき; あきら; あけ; はる; ひろ; やん; よ,12,967D
律,control; gauge; law; regulation; rhythm,リチ; リツ; レツ; たかし; のり,9,5F8B
量,amount; consider; estimate; measure; quantity; surmise; weight,リョウ; はか.る; かず,12,91CF
冷,"chill; cold (beer, person); cool",レイ; さ.ます; さ.める; つめ.たい; ひ.える; ひ.や; ひ.やかす; ひ.やす; ひ.ややか,7,51B7
録,record,ロク; しる.す; と.る,16,9332
依,consequently; depend on; due to; reliant; therefore,イ; エ; よ.る; よ; より,8,4F9D
育,bring up; grow up; raise; rear,イク; そだ.ち; そだ.つ; そだ.てる; はぐく.む; やす,8,80B2
雨,rain,ウ; -さめ; あま-; あめ,8,96E8
益,advantage; benefit; gain; profit,エキ; ヤク; ま.す; まし; ます,10,76CA
応,OK; accept; answer; apply; reply; yes,-ノウ; オウ; ヨウ; あた.る; こた.える; まさに; お; たか; まさ,7,5FDC
化,-ization; change; delude; enchant; influence; take the form of,カ; ケ; け.する; ば.かす; ば.ける; ふ.ける,4,5316
歌,sing; song,カ; うた; うた.う,14,6B4C
芽,bud; germ; spear; sprout,ガ; め; じ; めぐ,8,82BD
絵,drawing; painting; picture; sketch,エ; カイ,12,7D75
覚,awake; learn; memorize; remember; sober up,カク; おぼ.える; さ.ます; さ.める; さと.る,12,899A
勧,advise; encourage; offer; persuade; recommend,カン; ケン; すす.める,13,52E7
間,interval; space,カン; ケン; あい; あいだ; ま; ちか; は; はざ; はし,12,9593
基,counter for machines; foundation; fundamentals; radical (chem),キ; もと; もとい; きい; とも,11,57FA
紀,account; annals; chronicle; geologic period; history; narrative,キ; おさむ; ただす; とし; とも; のり; もと,9,7D00
逆,inverted; opposite; reverse; wicked,ギャク; ゲキ; さか; さか.さ; さか.らう,9,9006
給,allow; bestow on; gift; grant; salary; wage,キュウ; -たま.え; たま.う; たも.う; きい,12,7D66
供,accompany; offer; present; serve (meal); submit,キョウ; ク; クウ; グ; -ども; そな.える; とも,8,4F9B
業,arts; business; performance; vocation,ギョウ; ゴウ; わざ; なり; のぶ,13,696D
銀,silver,ギン; しろがね; うん; かな; かね,14,9280
軍,army; battle; force; troops; war,グン; いくさ,9,8ECD
計,measure; plan; plot; scheme,ケイ; はか.らう; はか.る; え; かず; け,9,8A08
健,health; healthy; persistence; strength,ケン; すこ.やか; かつ; たけ; たけし; たて; とし; やす; やすし,11,5065
県,prefecture,ケン; か.ける; あがた; がた,9,770C
限,limit; restrict; to best of ability,ゲン; -かぎ.り; かぎ.り; かぎ.る,9,9650
午,11AM-1PM; noon; seventh sign of Chinese zodiac; sign of the horse,ゴ; うま,4,5348
効,benefit; efficacy; efficiency; merit,コウ; き.く; ききめ; なら.う,8,52B9
校,correction; exam; printing; proof; school,キョウ; コウ; めん,10,6821
高,expensive; high; tall,コウ; -だか; たか; たか.い; たか.まる; たか.める; か; こ; じょい; た; はか,10,9AD8
左,left,サ; シャ; ひだり; そ,5,5DE6
祭,celebrate; deify; enshrine; offer prayers; ritual; worship,サイ; まつ.り; まつ.る; まつり,11,796D
昨,previous; yesterday,サク,9,6628
産,bear; childbirth; give birth; native; products; property; yield,サン; う.まれる; う.む; うぶ-; む.す; もと,11,7523
四,four,シ; よ; よ.つ; よっ.つ; よん; あ; つ; よつ,5,56DB
支,branch; branch radical (no. 65); support; sustain,シ; か.う; ささ.える; つか.える,4,652F
詩,poem; poetry,シ; うた,13,8A69
時,hour; time,ジ; -どき; とき; と; とぎ,10,6642
失,disadvantage; error; fault; lose; loss,シツ; う.せる; うしな.う,5,5931
借,borrow; rent,シャク; か.りる,10,501F
受,accept; answer (phone); catch; get; receive; take; undergo,ジュ; -う.け; う.かる; う.ける; じょ,8,53D7
秋,autumn,シュウ; あき; とき; あい,9,79CB
宿,be pregnant; dwell; dwelling; home; inn; lodge; lodging; relay station,シュク; やど; やど.す; やど.る; すく; ぶすき; やけ,11,5BBF
初,beginning; first time,ショ; -そ.める; -ぞ.め; うい-; はじ.め; はじ.めて; はつ; はつ-; し; はっ,7,521D
商,dealing in; make a deal; merchant; selling,ショウ; あきな.う; あき,11,5546
省,conserve; government ministry; omit,ショウ; セイ; かえり.みる; はぶ.く; さとし; み,9,7701
情,circumstances; emotion; facts; feelings; passion; sympathy,ジョウ; セイ; なさ.け,11,60C5
新,new,シン; あたら.しい; あら-; あら.た; にい-; あせ; あたらし; し; に; にっ; につ; よし,13,65B0
人,person,ジン; ニン; -と; -り; ひと; じ; と; ね; ひこ; ふみ,2,4EBA
性,gender; nature; sex,ショウ; セイ; さが,8,6027
聖,holy; master; priest; sage; saint,ショウ; セイ; ひじり; きよ; さと; さとし; せ; たか; ただ; ひろ; まさ; み,13,8056
積,acreage; amass; contents; load; pile up; product (x*y); stack; volume,セキ; -づ.み; つ.む; つ.もり; つ.もる; か; さか; しゃこ; ずみ; つみ,16,7A4D
雪,snow,セツ; ゆき; せっ; ぶき,11,96EA
線,line; track,セン; すじ,15,7DDA
組,assemble; association; braid; construct; cooperate; grapple; plait; unite,ソ; -ぐみ; く.む; くみ,11,7D44
送,escort; send,ソウ; おく.る,9,9001
速,fast; quick,ソク; すみ.やか; はや-; はや.い; はや.める; わ,10,901F
村,town; village,ソン; むら; え; むた; ら,7,6751
貸,lend,タイ; か.し-; か.す; かし-,12,8CB8
単,merely; one; simple; single,タン; ひとえ,9,5358
置,deposit; employ; keep; leave behind; pawn; placement; put; set,チ; -お.き; お.く; おき; おけ; き,13,7F6E
虫,bug; insect; temper,キ; チュウ; むし; む,6,866B
長,leader; long; senior; superior,チョウ; おさ; なが.い; お; おしゃ; たかし; たけ; な; は; ひさ,8,9577
庭,courtyard; garden; yard,テイ; にわ; ば,10,5EAD
展,expand; unfold,テン; のぶ; のり; ひろ; ゆき,10,5C55
努,as much as possible; diligent; toil,ド; つと.める,7,52AA
燈,counter for lights; lamp; light,トウ; あかり; とも.す; ともしび; ひ; ほ-,16,71C8
堂,hall; public chamber,ドウ,11,5802
読,read,トウ; トク; ドク; -よ.み; よ.む; よみ,14,8AAD
任,appoint; duty; entrust to; responsibility; term,ニン; まか.す; まか.せる; さ; とう; ひで,6,4EFB
派,clique; faction; group; party; school; sect,ハ,9,6D3E
白,white,ハク; ビャク; しら-; しろ; しろ.い; あき; か; はっ,5,767D
犯,crime; offense; sin,ハン; ボン; おか.す,5,72AF
飛,fly; scatter; skip (pages),ヒ; -と.ばす; と.ばす; と.ぶ; あす; とび,9,98DB
票,ballot; label; sign; ticket,ヒョウ,11,7968
婦,bride; lady; wife; woman,フ; よめ; ね,11,5A66
幅,hanging scroll; width,フク; はば,12,5E45
聞,ask; hear; listen,ブン; モン; き.く; き.こえる,14,805E
便,chance; convenience; excrement; facility; feces; letter,ビン; ベン; たよ.り,9,4FBF
放,banish; emit; fire; liberate; release; set free; shoot,ホウ; -っぱな.し; こ.く; はな.す; はな.つ; はな.れる; ほう.る; はなれ,8,653E
本,book; counter for long cylindrical things; main; origin; present; real; true,ホン; もと; ごう; まと,5,672C
務,duties; task,ム; つと.める; つかさ; み,11,52D9
毛,down; feather; fur; hair,モウ; け; めん; も,4,6BDB
訳,case; circumstance; reason; translate,ヤク; わけ,11,8A33
余,myself; other; remainder; surplus; too much,ヨ; あま.す; あま.り; あま.る; あんま.り; あまる,7,4F59
養,bring up; develop; foster; nurture; rear,ヨウ; リョウ; やしな.う; や,15,990A
率,%; command; factor; lead; proportion; rate; ratio; spearhead,シュツ; ソツ; リツ; ひき.いる,11,7387
領,dominion; fief; jurisdiction; reign; territory,リョウ; えり; よう; よし,14,9818
礼,bow; ceremony; remuneration; salute; thanks,ライ; レイ; あや; なり; のり; ひろし; れ,5,793C
論,argument; discourse,ロン; あげつら.う,15,8AD6
囲,besiege; encircle; enclosure; keep; paling; preserve; store; surround,イ; かこ.い; かこ.う; かこ.む,7,56F2
一,one; one radical (no.1),イチ; イツ; ひと-; ひと.つ; い; いっ; いる; かず; かつ; かづ; てん; はじめ; ひ; ひとつ; まこと,1,4E00
運,advance; carry; destiny; fate; lot; luck; progress; transport,ウン; はこ.ぶ,12,904B
駅,station,エキ,14,99C5
横,horizontal; perverse; side; sideways; unreasonable; width; woof,オウ; よこ,15,6A2A
仮,assumed (name); informal; interim; sham; temporary,カ; ケ; かり; かり-,6,4EEE
河,river,カ; かわ; かっ; こ; こう,8,6CB3
賀,congratulations; joy,ガ; か; のり; よし; より,12,8CC0
角,angle; antlers; corner; horn; square,カク; かど; つの; い; す; すみ; ずみ; ふさ,7,89D2
完,completion; end; perfect,カン,7,5B8C
関,barrier; concerning; connection; gateway; involve,カン; -ぜき; かか.わる; からくり; かんぬき; せき,14,95A2
寄,bring near; collect; draw near; forward; gather; send; stop in,キ; -よ.り; よ.せる; よ.る; よせ; より; よろ,11,5BC4
規,measure; standard,キ; すのり; ただし; のり; み,11,898F
久,long time; old story,キュウ; ク; ひさ.しい; きゅ; なが; ひさ; ひさし; わ,3,4E45
旧,ex-; former; old friend; old things; old times,キュウ; ふる.い; もと,5,65E7
競,bid; bout; compete with; contest; emulate; race; sell at auction,キョウ; ケイ; きそ.う; くら.べる; せ.る; かい; わたなべ,20,7AF6
局,affair; board; bureau; conclusion; court lady; her apartment; lady-in-waiting; office,キョク; つぼね,7,5C40
九,nine,キュウ; ク; ここの; ここの.つ; いちじく; いちのく; この; ひさし,2,4E5D
郡,county; district,グン; こおり,10,90E1
軽,lightly; trifling; unimportant,キョウ; キン; ケイ; かる.い; かろ.やか; かろ.んじる,12,8EFD
兼,and; beforehand; concurrently; in advance,ケン; -か.ねる; か.ねる; かね,10,517C
見,chances; hopes; idea; look at; opinion; see; visible,ケン; み.える; み.せる; み.る,7,898B
個,counter for articles; individual,カ; コ,10,500B
後,back; behind; later,コウ; ゴ; あと; うし.ろ; うしろ; おく.れる; のち; こし; し; しい; しり,9,5F8C
厚,brazen; cordial; heavy; kind; rich; shameless; thick,コウ; あか; あつ.い; あ; あっ,9,539A
構,appearance; build; posture; set up; stance,コウ; かま.う; かま.える; とち,14,69CB
号,call; item; name; nickname; number; pseudonym; title,ゴウ; さけ.ぶ; よびな,5,53F7
差,balance; difference; discrepancy; distinction; margin; variation,サ; さ.し; さ.す,10,5DEE
細,dainty; detailed; get thin; narrow; precise; slender; taper,サイ; こま.か; こま.かい; ほそ.い; ほそ.る,11,7D30
策,means; plan; policy; scheme; step,サク,12,7B56
算,abacus; calculate; divining; number; probability,サン; そろ,14,7B97
士,gentleman; samurai; samurai radical (no. 33); scholar,シ; さむらい; お; ま,3,58EB
止,halt; stop,シ; -さ.し; -さ.す; -と.める; -ど.まり; -ど.め; -や.む; と.まる; と.める; とど.まる; とど.め; とど.める; や.む; や.める; よ.す; どめ,4,6B62
試,attempt; experiment; ordeal; test; try,シ; こころ.みる; ため.す,13,8A66
次,next; order; sequence,シ; ジ; つ.ぐ; つぎ; き; すき; つぐ; よし,6,6B21
室,apartment; cellar; chamber; greenhouse; room,シツ; むろ,9,5BA4
釈,explanation,シャク; セキ; す.てる; とく; ゆる.す; しゃ,11,91C8
授,confer; grant; impart; instruct,ジュ; さず.かる; さず.ける,11,6388
終,end; finish,シュウ; -お.わる; お.える; お.わる; おわ.る; つい; つい.に; ばて,11,7D42
祝,celebrate; congratulate,シュウ; シュク; いわ.う; のり; ほぎ; ゆわい,9,795D
所,extent; place,ショ; -ところ; とこ; ところ; どころ; せ,8,6240
唱,call upon; chant; recite; yell,ショウ; とな.える,11,5531
称,admire; appellation; fame; name; praise; title,ショウ; あ.げる; かな.う; たた.える; とな.える; はか.り; はか.る; ほめ.る; ね,10,79F0
条,"article; clause; counter for articles, clauses, paragraphs, etc.; item; streak; stripe; twig",ジョウ; チョウ; デキ; えだ; すじ,7,6761
森,forest; woods,シン; もり; もと,12,68EE
仁,benevolence; charity; humanity; kernel; man; virtue,ジン; ニ; ニン; きみ; く; さと; しのぶ; じ; と; のり; ひと; ひとし; ひろ; まさ; まさし; やす; よし,4,4EC1
成,become; elapse; get; grow; reach; turn into,ジョウ; セイ; -な.す; な.す; な.る; あき; あきら; しげ; そん; たえ; なお; なり; なる; のり; ひら; まさ; よし; り,6,6210
声,voice,ショウ; セイ; こえ; こわ-,7,58F0
績,achievements; exploits; unreeling cocoons,セキ; み,17,7E3E
絶,abstain; be beyond; cut off; discontinue; interrupt; peerless; sever; suppress; unparalleled; without match,ゼツ; た.える; た.つ; た.やす,12,7D76
船,boat; ship,セン; ふな-; ふね; ふ,11,8239
創,genesis; hurt; injury; originate; start; wound,ショウ; ソウ; きず; けず.しける; つく.る; はじ.める; はじめ,12,5275
像,figure; image; picture; portrait; statue,ゾウ; かた,14,50CF
俗,customs; manners; mundane things; vulgar; worldliness,ゾク,9,4FD7
他,another; other; the others,タ; ほか,5,4ED6
退,expel; reject; repel; resign; retire; retreat; withdraw,タイ; しりぞ.く; しりぞ.ける; ど.く; の.く; の.ける; ひ.く,9,9000
炭,charcoal; coal,タン; すみ,9,70AD
築,build; construct; fabricate,チク; きず.く; つい; つき; つく; づき,16,7BC9
著,arrival; counter for suits of clothing; don; finish (race); literary work; phenomenal; publish; put on; remarkable; renowned; wear; write,チャク; チョ; あらわ.す; いちじる.しい,11,8457
鳥,bird; chicken,チョウ; とり; か; と; とっ,11,9CE5
弟,faithful service to elders; younger brother,ダイ; テイ; デ; おとうと; て,7,5F1F
店,shop; store,テン; たな; みせ,8,5E97
度,attitude; consider; counter for occurrences; degrees; occurrence; time,タク; ト; ド; -た.い; たび; のり,9,5EA6
当,appropriate; himself; hit; right,トウ; あ.たり; あ.たる; あ.て; あ.てる; まさ.に; まさ.にべし; たい,6,5F53
導,conduct; guidance; leading; usher,ドウ; みちび.く; みち,15,5C0E
届,arrive; deliver; forward; notify; reach; report,カイ; -とど.け; とど.く; とど.ける,8,5C4A
認,acknowledge; appreciate; believe; discern; recognize; witness,ニン; したた.める; みと.める,14,8A8D
破,break; defeat; destroy; frustrate; rend; rip; tear,ハ; やぶ.る; やぶ.れる; わ.れる,10,7834
麦,barley; wheat,バク; むぎ,7,9EA6
飯,boiled rice; meal,ハン; めし; い; いい; いり; え,12,98EF
備,equip; preparation; provision,ビ; そな.える; そな.わる; つぶさ.に; びっ; びん,12,5099
表,chart; diagram; surface; table,ヒョウ; -おもて; あら.わす; あらわ.す; あらわ.れる; おもて,8,8868
富,abundant; enrich; wealth,フ; フウ; と.む; とみ; と; とん; ふっ,12,5BCC
服,admit; clothing; discharge; obey,フク; はっ; はつ; はら,8,670D
兵,army; private; soldier; strategy; tactics; troops; warfare,ヒョウ; ヘイ; つわもの; へ,7,5175
勉,diligent; encourage; endeavour; exertion; make effort; strive,ベン; つと.める; ひこ; やつ,10,52C9
方,alternative; direction; person,ホウ; -かた; -がた; かた; から; な; なた; ふさ; まさ; みち; も; わ,4,65B9
妹,younger sister,マイ; いもうと; す; せ; も,8,59B9
無,ain't; nil; none; not; nothing; nothingness,ブ; ム; な.い,12,7121
木,tree; wood,ボク; モク; き; こ-; ぐ; も; もと,4,6728
油,fat; oil,ユ; ユウ; あぶら,8,6CB9
預,custody; deposit; entrust to; leave with,ヨ; あず.かる; あず.ける,13,9810
欲,covetousness; craving; desire; greed; longing; passion,ヨク; ほ.しい; ほっ.する,11,6B32
立,erect; rise; set up; stand up,リットル; リツ; リュウ; -た.つ; -た.て; -た.てる; -だ.て; -だ.てる; た.ち-; た.つ; た.て-; た.てる; たて-; たち; たっ; たつ; だて; つい,5,7ACB
力,bear up; exert; power; strain; strength; strong,リイ; リキ; リョク; ちから; じから; つとむ,2,529B
歴,continuation; curriculum; passage of time,レキ; レッキ,14,6B74
和,Japan; Japanese style; harmony; peace; soften,オ; カ; ワ; あ.える; なご.む; なご.やか; やわ.らぐ; やわ.らげる; あい; いず; かず; かつ; かつり; かづ; たけ; ち; とも; な; にぎ; まさ; やす; よし; より; わだこ; わっ,8,548C
